,capacidad,alcaldia,latitud,longitud,alcaldia_id
0,2500,Milpa Alta,19.219028,-98.991283,009
1,2500,Milpa Alta,19.21988,-99.002227,009
2,2500,Milpa Alta,19.218343,-98.997507,009
3,2500,Milpa Alta,19.219277,-98.996269,009
4,2500,Milpa Alta,19.222071,-98.99776,009
5,2500,Milpa Alta,19.219022,-98.9974,009
6,2500,Milpa Alta,19.21849,-98.99119,009
7,2500,Milpa Alta,19.219421,-98.996233,009
8,2500,Milpa Alta,19.21988,-99.002227,009
9,2500,Milpa Alta,19.220248,-98.997127,009
10,2500,Milpa Alta,19.220915,-98.996576,009
11,2500,Milpa Alta,19.220554,-98.996161,009
12,2500,Milpa Alta,19.179889,-99.006285,009
13,2500,Milpa Alta,19.218739,-99.001828,009
14,2500,Milpa Alta,19.221383,-98.997973,009
15,1100,Milpa Alta,19.220085,-98.998196,009
16,2500,Tlalpan,19.268509,-99.241868,012
17,2500,Milpa Alta,19.188557,-98.996908,009
18,1100,Milpa Alta,19.220312,-98.997036,009
19,2500,Milpa Alta,19.219783,-98.996297,009
20,2500,Milpa Alta,19.21854,-98.997689,009
21,2500,Milpa Alta,19.22017,-98.996293,009
22,2500,Milpa Alta,19.220917,-99.001469,009
23,1100,Milpa Alta,19.220766,-99.001656,009
24,2500,Milpa Alta,19.220795,-98.999396,009
25,2500,Milpa Alta,19.218878,-98.996861,009
26,2500,Milpa Alta,19.222122,-99.001422,009
27,2500,Milpa Alta,19.218078,-98.997522,009
28,2500,Milpa Alta,19.22201,-98.998646,009
29,1100,Milpa Alta,19.220947,-98.997023,009
30,2500,Milpa Alta,19.196844,-99.090491,009
31,2500,Milpa Alta,19.220889,-98.997075,009
32,1100,Milpa Alta,19.220839,-99.001513,009
33,2500,Milpa Alta,19.170414,-99.030948,009
34,2500,Milpa Alta,19.221773,-99.000796,009
35,2500,Milpa Alta,19.221014,-99.000671,009
36,2500,Milpa Alta,19.222324,-99.001821,009
37,1100,Milpa Alta,19.222692,-98.999567,009
38,2500,Milpa Alta,19.220846,-98.999951,009
39,2500,Milpa Alta,19.221224,-98.994043,009
40,2500,Milpa Alta,19.217548,-98.99344,009
41,1100,Milpa Alta,19.219438,-98.996254,009
42,1100,Milpa Alta,19.219503,-98.996544,009
43,1100,Milpa Alta,19.222642,-98.999271,009
44,2500,Milpa Alta,19.221102,-98.990169,009
45,2500,Milpa Alta,19.220364,-98.996646,009
46,1100,Milpa Alta,19.220378,-98.997318,009
47,1100,Milpa Alta,19.221505,-98.994137,009
