Id,Norte,Este,Expediente,Pueblo,Colonia_Ba,Territoria,Alcaldia,Fecha_de_I,Instalado
1,-98.991283,19.219028,1-MEMEMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
2,-99.002227,19.21988,2-RUCOAL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
3,-98.997507,19.218343,3-GAALRA-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/07/21,Programa SCALL
4,-98.996269,19.219277,4-BLROAN-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
5,-98.99776,19.222071,8-BALOMO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/19,Programa SCALL
6,-98.9974,19.219022,9-ANROJO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
7,-98.99119,19.21849,10-GAPIJU-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/09/03,Programa SCALL
8,-98.996233,19.219421,11-ROMEEL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
9,-99.002227,19.21988,12-COCALE-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
10,-98.997127,19.220248,13-GAGOAL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/03,Programa SCALL
11,-98.996576,19.220915,14-RAAVRO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
12,-98.996161,19.220554,15-BAVAJU-MIA-22,SAN ANTONIO TECOMITL,BARRIO TECAXTITLA,NO APLICA,MILPA ALTA,2022/05/14,Programa SCALL
13,-99.006285,19.179889,16-GAMASI-MIA-22,SANTA ANA TLACOTENCO,BARRIO LA LUPITA XOLCO,NO APLICA,MILPA ALTA,2022/05/25,Programa SCALL
14,-99.001828,19.218739,17-PESATE-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/14,Programa SCALL
15,-98.997973,19.221383,18-HEJIJU-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/19,Programa SCALL
16,-98.998196,19.220085,19-HEMELE-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/05,Programa SCALL
17,-98.996908,19.188557,20-MAMERA-MIA-22,PUEBLO SAN JUAN TEPENAHUAC,NO APLICA,NO APLICA,MILPA ALTA,2022/06/04,Programa SCALL
18,-98.997036,19.220312,21-FLJUEL-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
19,-98.996297,19.219783,22-ROIBRE-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/05,Programa SCALL
20,-98.997689,19.21854,23-JUFLMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
21,-98.996293,19.22017,24-MERAMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/27,Programa SCALL
22,-99.001469,19.220917,26-ABMADU-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/07/26,Programa SCALL
23,-99.001656,19.220766,28-MEJUEN-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/21,Programa SCALL
24,-98.999396,19.220795,29-ROJOJO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
25,-98.996861,19.218878,30-GUROAL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/21,Programa SCALL
26,-99.001422,19.222122,31-FLMAJO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
27,-98.997522,19.218078,33-OLHEAB-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/27,Programa SCALL
28,-98.998646,19.22201,34-VAORCL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
29,-98.997023,19.220947,35-GRGOMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/06/01,Programa SCALL
30,-99.090491,19.196844,36-FLESAN-MIA-22,PUEBLO SAN SALVADOR CUAUHTENCO,SAN SALVADOR CUAUHTENCO- ZE,NO APLICA,MILPA ALTA,2022/11/28,Programa SCALL
31,-98.997075,19.220889,37-JIESMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/27,Programa SCALL
32,-99.001513,19.220839,38-SARIIG-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
33,-99.000796,19.221773,39-SUROFE-MIA-22,SAN ANTONIO TECOMITL,BARRIO TECAXTITLA,NO APLICA,MILPA ALTA,2022/06/18,Programa SCALL
34,-99.000671,19.221014,41-BLROMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/05,Programa SCALL
35,-99.001821,19.222324,43-DUABPE-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
36,-98.999567,19.222692,44-CRCOES-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/21,Programa SCALL
37,-98.999951,19.220846,45-CAGOMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/14,Programa SCALL
38,-98.994043,19.221224,47-CAGOJU-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
39,-98.99344,19.217548,49-ALOSMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/07/21,Programa SCALL
40,-98.996254,19.219438,51-RILEBL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/05,Programa SCALL
41,-98.996544,19.219503,52-ROMEVI-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
42,-98.999271,19.222642,53-DIHECA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
43,-98.990169,19.221102,55-MOPIAL-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/05/19,Programa SCALL
44,-98.996646,19.220364,57-ORRAYA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
45,-98.997318,19.220378,58-TOVIGU-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/27,Programa SCALL
46,-98.994137,19.221505,59-BAMOAL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
47,-98.9974,19.219022,60-NUCAHE-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
48,-99.001849000000007,19.220496,61-SADEER-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/19,Programa SCALL
49,-98.986503,19.213843,62-GUMEUL-MIA-22,SAN ANTONIO TECOMITL,BARRIO XOCHITEPEC,NO APLICA,MILPA ALTA,2022/11/17,Programa SCALL
50,-99.001954,19.22064,63-LIGORA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/07/02,Programa SCALL
